plan_id,plan_date,facility_id,shift_id,forecast_orders,target_capacity_orders,baseline_fte,baseline_contract,baseline_overtime_hours,baseline_capacity_orders,baseline_labour_cost_inr,recommended_fte,recommended_contract,recommended_overtime_hours,optimized_capacity_orders,optimized_labour_cost_inr,baseline_capacity_gap,optimized_capacity_gap,baseline_utilization,optimized_utilization,cost_savings_inr,cost_savings_pct,overtime_reduction_hours
1,2026-08-01,FC_BLR,S1,3792,3905.8,32,11,0,3876.2,59392.0,39,3,1,3910.0,56650.0,-29.6,4.2,0.9783,0.9698,2742.0,0.0462,-1
2,2026-08-01,FC_BLR,S2,4296,4424.9,36,13,6,4299.9,71354.28,39,12,0,4435.3,72330.72,-125.0,10.4,0.9991,0.9686,-976.44,-0.0137,6
3,2026-08-01,FC_BLR,S3,2700,2781.0,27,9,0,2873.5,54648.0,34,0,0,2824.2,49667.2,92.5,43.2,0.9396,0.956,4980.8,0.0911,0
4,2026-08-01,FC_DEL,S1,4085,4207.6,36,13,0,4281.0,69552.0,43,4,0,4224.0,64816.0,73.4,16.4,0.9542,0.9671,4736.0,0.0681,0
5,2026-08-01,FC_DEL,S2,4663,4802.9,43,15,0,4877.6,84707.2,43,14,0,4803.4,83075.68,74.7,0.5,0.956,0.9708,1631.52,0.0193,0
6,2026-08-01,FC_DEL,S3,2725,2806.8,27,10,0,2857.3,57816.0,35,0,0,2819.2,52360.0,50.5,12.4,0.9537,0.9666,5456.0,0.0944,0
7,2026-08-01,FC_KOL,S1,2843,2928.3,27,9,0,3032.0,46728.0,33,1,0,2961.8,42632.0,103.7,33.5,0.9377,0.9599,4096.0,0.0877,0
8,2026-08-01,FC_KOL,S2,3192,3287.8,31,11,0,3395.0,56254.48,33,7,2,3295.6,53345.76,107.2,7.8,0.9402,0.9686,2908.72,0.0517,-2
9,2026-08-01,FC_KOL,S3,1976,2035.3,21,7,0,2086.1,39978.4,27,0,0,2089.8,37065.6,50.8,54.5,0.9472,0.9455,2912.8,0.0729,0
10,2026-08-01,FC_MUM,S1,3412,3514.4,30,11,0,3543.8,59208.0,39,0,0,3523.4,53976.0,29.4,9.0,0.9628,0.9684,5232.0,0.0884,0
11,2026-08-01,FC_MUM,S2,4030,4150.9,36,12,3,4030.1,72006.27,39,11,0,4189.4,73813.92,-120.8,38.5,1.0,0.962,-1807.65,-0.0251,3
12,2026-08-01,FC_MUM,S3,2574,2651.2,24,9,7,2582.4,54481.9,33,0,2,2654.8,50817.8,-68.8,3.6,0.9967,0.9696,3664.1,0.0673,5
13,2026-08-01,FC_HYD,S1,3216,3312.5,28,10,0,3367.8,50720.0,36,0,0,3329.2,46080.0,55.3,16.7,0.9549,0.966,4640.0,0.0915,0
14,2026-08-01,FC_HYD,S2,3581,3688.4,32,11,0,3668.8,59047.84,36,7,0,3725.1,58190.88,-19.6,36.7,0.9761,0.9613,856.96,0.0145,0
15,2026-08-01,FC_HYD,S3,2236,2303.1,21,8,0,2268.8,42662.4,28,0,2,2308.5,39958.6,-34.3,5.4,0.9855,0.9686,2703.8,0.0634,-2
16,2026-08-02,FC_BLR,S1,3430,3532.9,29,10,0,3515.3,53872.0,38,0,0,3568.2,50464.0,-17.6,35.3,0.9757,0.9613,3408.0,0.0633,0
17,2026-08-02,FC_BLR,S2,3989,4108.7,34,12,1,3993.8,65749.02,39,8,0,4130.6,66002.4,-114.9,21.9,0.9988,0.9657,-253.38,-0.0039,1
18,2026-08-02,FC_BLR,S3,2385,2456.6,23,8,0,2471.1,47115.2,30,0,0,2491.9,43824.0,14.5,35.3,0.9652,0.9571,3291.2,0.0699,0
19,2026-08-02,FC_DEL,S1,3604,3712.1,32,11,0,3762.5,60944.0,41,0,0,3733.2,55760.0,50.4,21.1,0.9579,0.9654,5184.0,0.0851,0
20,2026-08-02,FC_DEL,S2,4258,4385.7,37,13,6,4261.5,74633.8,43,9,0,4432.4,74918.08,-124.2,46.7,0.9992,0.9607,-284.28,-0.0038,6
21,2026-08-02,FC_DEL,S3,2710,2791.3,26,9,1,2717.4,54861.4,35,0,0,2819.2,52360.0,-73.9,27.9,0.9973,0.9613,2501.4,0.0456,1
22,2026-08-02,FC_KOL,S1,2500,2575.0,21,8,8,2509.5,39680.0,30,0,0,2624.9,37440.0,-65.5,49.9,0.9962,0.9524,2240.0,0.0565,8
23,2026-08-02,FC_KOL,S2,2913,3000.4,26,9,9,2914.4,49032.12,33,3,2,3009.5,47380.0,-86.0,9.1,0.9995,0.9679,1652.12,0.0337,7
24,2026-08-02,FC_KOL,S3,1868,1924.0,21,7,0,2086.1,39978.4,25,0,0,1935.0,34320.0,162.1,11.0,0.8955,0.9654,5658.4,0.1415,0
25,2026-08-02,FC_MUM,S1,3338,3438.1,30,10,0,3468.1,57600.0,38,0,1,3442.9,52855.0,30.0,4.8,0.9625,0.9695,4745.0,0.0824,-1
26,2026-08-02,FC_MUM,S2,3845,3960.3,36,13,0,4074.5,72849.84,39,8,0,3970.8,68845.2,114.2,10.5,0.9437,0.9683,4004.64,0.055,0
27,2026-08-02,FC_MUM,S3,2425,2497.8,24,8,0,2454.3,50688.0,32,0,0,2557.4,48716.8,-43.5,59.6,0.9881,0.9482,1971.2,0.0389,0
28,2026-08-02,FC_HYD,S1,2896,2982.9,24,8,6,2902.9,44082.0,33,0,0,3051.7,42240.0,-80.0,68.8,0.9976,0.949,1842.0,0.0418,6
29,2026-08-02,FC_HYD,S2,3255,3352.7,29,10,0,3327.2,53560.0,36,2,1,3360.5,50777.97,-25.5,7.8,0.9783,0.9686,2782.03,0.0519,-1
30,2026-08-02,FC_HYD,S3,2018,2078.5,20,7,0,2118.2,39617.6,26,0,0,2127.0,36608.0,39.7,48.5,0.9527,0.9488,3009.6,0.076,0
31,2026-08-03,FC_BLR,S1,2692,2772.8,21,8,9,2698.2,42426.0,30,0,0,2817.0,39840.0,-74.6,44.2,0.9977,0.9556,2586.0,0.061,9
32,2026-08-03,FC_BLR,S2,3038,3129.1,27,9,0,3123.4,51170.4,35,0,0,3160.1,47874.4,-5.7,31.0,0.9727,0.9614,3296.0,0.0644,0
33,2026-08-03,FC_BLR,S3,1858,1913.7,18,6,0,1915.7,36432.0,23,0,1,1919.6,33873.4,2.0,5.9,0.9699,0.9679,2558.6,0.0702,-1
34,2026-08-03,FC_DEL,S1,2848,2933.4,26,9,0,3061.8,49616.0,32,0,2,2933.7,44036.0,128.4,0.3,0.9302,0.9708,5580.0,0.1125,-2
35,2026-08-03,FC_DEL,S2,3447,3550.4,30,10,9,3454.8,60730.86,41,0,0,3589.6,57432.8,-95.6,39.2,0.9977,0.9603,3298.06,0.0543,9
36,2026-08-03,FC_DEL,S3,2130,2193.9,21,8,0,2237.5,45355.2,28,0,0,2255.3,41888.0,43.6,61.4,0.952,0.9444,3467.2,0.0764,0
37,2026-08-03,FC_KOL,S1,2045,2106.3,19,7,0,2183.3,33848.0,24,0,1,2109.5,30188.0,77.0,3.2,0.9367,0.9694,3660.0,0.1081,-1
38,2026-08-03,FC_KOL,S2,2385,2456.6,22,8,0,2423.2,40211.2,30,0,0,2524.0,38563.2,-33.4,67.4,0.9842,0.9449,1648.0,0.041,0
39,2026-08-03,FC_KOL,S3,1526,1571.8,16,6,0,1633.3,31521.6,21,0,0,1625.4,28828.8,61.5,53.6,0.9343,0.9388,2692.8,0.0854,0
40,2026-08-03,FC_MUM,S1,2548,2624.4,22,8,0,2593.8,43312.0,29,0,1,2629.8,40399.0,-30.6,5.4,0.9823,0.9689,2913.0,0.0673,-1
41,2026-08-03,FC_MUM,S2,2928,3015.8,27,10,0,3074.1,55051.44,35,0,0,3040.4,49893.2,58.3,24.6,0.9525,0.963,5158.24,0.0937,0
42,2026-08-03,FC_MUM,S3,1817,1871.5,18,7,0,1907.8,39784.8,24,0,0,1918.0,36537.6,36.3,46.5,0.9524,0.9473,3247.2,0.0816,0
43,2026-08-03,FC_HYD,S1,2196,2261.9,19,7,0,2302.0,34736.0,25,0,0,2311.9,32000.0,40.1,50.0,0.954,0.9499,2736.0,0.0788,0
44,2026-08-03,FC_HYD,S2,2498,2572.9,24,8,0,2732.9,43902.72,29,0,0,2578.7,38233.6,160.0,5.8,0.914,0.9687,5669.12,0.1291,0
45,2026-08-03,FC_HYD,S3,1591,1638.7,17,6,0,1803.9,33756.8,20,0,1,1645.1,28427.3,165.2,6.4,0.882,0.9671,5329.5,0.1579,-1
46,2026-08-04,FC_BLR,S1,2757,2839.7,24,9,0,2966.6,45696.0,31,0,0,2910.9,41168.0,126.9,71.2,0.9293,0.9471,4528.0,0.0991,0
47,2026-08-04,FC_BLR,S2,3143,3237.3,28,10,0,3289.8,54120.32,36,0,0,3250.4,49242.24,52.5,13.1,0.9554,0.967,4878.08,0.0901,0
48,2026-08-04,FC_BLR,S3,1952,2010.6,19,7,0,2068.8,39582.4,24,0,2,2011.7,35609.2,58.2,1.1,0.9435,0.9703,3973.2,0.1004,-2
49,2026-08-04,FC_DEL,S1,2991,3080.7,27,10,0,3230.0,52560.0,34,0,0,3095.8,46240.0,149.3,15.1,0.926,0.9661,6320.0,0.1202,0
50,2026-08-04,FC_DEL,S2,3411,3513.3,31,11,0,3530.2,61371.52,40,0,2,3521.3,56563.48,16.9,8.0,0.9662,0.9687,4808.04,0.0783,-2
51,2026-08-04,FC_DEL,S3,2186,2251.6,22,8,0,2318.1,46851.2,28,0,0,2255.3,41888.0,66.5,3.7,0.943,0.9693,4963.2,0.1059,0
52,2026-08-04,FC_KOL,S1,2101,2164.0,19,7,0,2183.3,33848.0,25,0,0,2187.4,31200.0,19.3,23.4,0.9623,0.9605,2648.0,0.0782,0
53,2026-08-04,FC_KOL,S2,2337,2407.1,23,8,0,2507.3,41496.64,29,0,0,2439.8,37277.76,100.2,32.7,0.9321,0.9579,4218.88,0.1017,0
54,2026-08-04,FC_KOL,S3,1478,1522.3,15,5,0,1490.1,28556.0,20,0,0,1548.0,27456.0,-32.2,25.7,0.9919,0.9548,1100.0,0.0385,0
55,2026-08-04,FC_MUM,S1,2651,2730.5,24,8,0,2774.5,46080.0,31,0,0,2800.6,42904.0,44.0,70.1,0.9555,0.9466,3176.0,0.0689,0
56,2026-08-04,FC_MUM,S2,2915,3002.5,27,9,0,3001.2,53395.2,35,0,0,3040.4,49893.2,-1.3,37.9,0.9713,0.9588,3502.0,0.0656,0
57,2026-08-04,FC_MUM,S3,1927,1984.8,20,7,0,2067.6,42829.6,25,0,0,1998.0,38060.0,82.8,13.2,0.932,0.9645,4769.6,0.1114,0
58,2026-08-04,FC_HYD,S1,2231,2297.9,18,7,3,2239.8,34185.0,25,0,0,2311.9,32000.0,-58.1,14.0,0.9961,0.965,2185.0,0.0639,3
59,2026-08-04,FC_HYD,S2,2671,2751.1,24,8,0,2732.9,43902.72,31,0,0,2756.5,40870.4,-18.2,5.4,0.9774,0.969,3032.32,0.0691,0
60,2026-08-04,FC_HYD,S3,1624,1672.7,16,6,0,1722.1,32348.8,21,0,0,1717.9,29568.0,49.4,45.2,0.943,0.9453,2780.8,0.086,0
61,2026-08-05,FC_BLR,S1,2915,3002.5,25,9,0,3060.5,47024.0,32,0,0,3004.8,42496.0,58.0,2.3,0.9525,0.9701,4528.0,0.0963,0
62,2026-08-05,FC_BLR,S2,3207,3303.2,29,10,0,3380.1,55488.16,37,0,0,3340.7,50610.08,76.9,37.5,0.9488,0.96,4878.08,0.0879,0
63,2026-08-05,FC_BLR,S3,2054,2115.6,20,7,0,2151.9,41043.2,26,0,0,2159.7,37980.8,36.3,44.1,0.9545,0.9511,3062.4,0.0746,0
64,2026-08-05,FC_DEL,S1,2900,2987.0,27,9,0,3152.9,50976.0,33,0,0,3004.8,44880.0,165.9,17.8,0.9198,0.9651,6096.0,0.1196,0
65,2026-08-05,FC_DEL,S2,3525,3630.8,32,11,0,3617.7,62772.32,42,0,0,3677.2,58833.6,-13.1,46.4,0.9744,0.9586,3938.72,0.0627,0
66,2026-08-05,FC_DEL,S3,2204,2270.1,23,8,0,2398.6,48347.2,28,0,2,2273.0,42455.6,128.5,2.9,0.9189,0.9696,5891.6,0.1219,-2
67,2026-08-05,FC_KOL,S1,2270,2338.1,21,8,0,2432.6,37792.0,27,0,0,2362.4,33696.0,94.5,24.3,0.9332,0.9609,4096.0,0.1084,0
68,2026-08-05,FC_KOL,S2,2476,2550.3,23,8,0,2507.3,41496.64,31,0,0,2608.1,39848.64,-43.0,57.8,0.9875,0.9494,1648.0,0.0397,0
69,2026-08-05,FC_KOL,S3,1538,1584.1,16,5,0,1567.5,29928.8,21,0,0,1625.4,28828.8,-16.6,41.3,0.9812,0.9462,1100.0,0.0368,0
70,2026-08-05,FC_MUM,S1,2795,2878.8,26,9,0,3030.9,50456.0,32,0,0,2891.0,44288.0,152.1,12.2,0.9222,0.9668,6168.0,0.1222,0
71,2026-08-05,FC_MUM,S2,3178,3273.3,28,10,2,3179.9,57018.74,38,0,0,3301.0,54169.76,-93.4,27.7,0.9994,0.9627,2848.98,0.05,2
72,2026-08-05,FC_MUM,S3,1963,2021.9,21,7,0,2147.5,44352.0,26,0,0,2077.9,39582.4,125.6,56.0,0.9141,0.9447,4769.6,0.1075,0
73,2026-08-05,FC_HYD,S1,2468,2542.0,20,7,8,2475.3,37960.0,28,0,0,2589.4,35840.0,-66.7,47.4,0.9971,0.9531,2120.0,0.0558,8
74,2026-08-05,FC_HYD,S2,2900,2987.0,25,9,1,2906.4,47004.05,34,0,0,3023.3,44825.6,-80.6,36.3,0.9978,0.9592,2178.45,0.0463,1
75,2026-08-05,FC_HYD,S3,1704,1755.1,16,5,6,1706.9,32315.8,22,0,0,1799.7,30976.0,-48.2,44.6,0.9983,0.9468,1339.8,0.0415,6
