operation_id,work_date,facility_id,shift_id,forecast_orders,actual_orders,planned_fte,planned_contract,absent_fte,absent_contract,present_fte,present_contract,overtime_hours,capacity_orders,processed_orders,backlog_orders,paid_hours,productive_hours,actual_productivity_per_hour,capacity_utilization,absence_rate,labour_cost_inr,cost_per_processed_order
1,2026-05-01,FC_BLR,S1,2900,2937,24,9,0,2,24,7,6,3116.8,2937,0,270.0,229.2,12.81,0.9423,0.0606,47196.0,16.07
2,2026-05-01,FC_BLR,S2,4245,3821,36,12,2,0,34,12,0,4286.6,3821,0,384.0,331.2,11.54,0.8914,0.0417,68227.2,17.86
3,2026-05-01,FC_BLR,S3,1975,2151,18,7,1,1,17,6,36,2118.6,2118,33,236.0,201.6,10.51,0.9997,0.08,48021.6,22.67
4,2026-05-01,FC_DEL,S1,3426,3422,30,10,2,0,28,10,0,3430.0,3422,0,320.0,273.6,12.51,0.9977,0.05,56640.0,16.55
5,2026-05-01,FC_DEL,S2,4521,4252,40,14,2,1,38,13,6,4455.1,4252,0,438.0,373.2,11.39,0.9544,0.0556,80467.72,18.92
6,2026-05-01,FC_DEL,S3,2742,2749,28,10,1,1,27,9,0,3034.3,2749,0,304.0,259.2,10.61,0.906,0.0526,59312.0,21.58
7,2026-05-01,FC_KOL,S1,2465,2526,23,8,2,1,21,7,21,2528.1,2526,0,269.0,222.6,11.35,0.9992,0.0968,45244.0,17.91
8,2026-05-01,FC_KOL,S2,2948,2853,27,10,2,0,25,10,0,2966.0,2853,0,296.0,252.0,11.32,0.9619,0.0541,49621.28,17.39
9,2026-05-01,FC_KOL,S3,1898,1786,18,7,0,1,18,6,0,1926.0,1786,0,200.0,172.8,10.34,0.9273,0.04,35860.0,20.08
10,2026-05-01,FC_MUM,S1,3462,3234,29,10,2,1,27,9,11,3242.8,3234,0,323.0,270.2,11.97,0.9973,0.0769,59109.0,18.28
11,2026-05-01,FC_MUM,S2,4058,3558,37,13,0,1,37,12,0,4457.4,3558,0,400.0,352.8,10.09,0.7982,0.02,74275.36,20.88
12,2026-05-01,FC_MUM,S3,2097,2135,21,7,1,0,20,7,0,2179.1,2135,0,224.0,194.4,10.98,0.9797,0.0357,44352.0,20.77
13,2026-05-01,FC_HYD,S1,2308,2665,19,7,0,1,19,6,36,2568.8,2568,97,244.0,216.0,11.89,0.9997,0.0385,43484.0,16.93
14,2026-05-01,FC_HYD,S2,3308,3183,30,11,1,1,29,10,0,3800.1,3183,0,328.0,280.8,11.34,0.8376,0.0488,56411.04,17.72
15,2026-05-01,FC_HYD,S3,2102,2154,19,7,1,1,18,6,29,2160.0,2154,0,237.0,201.8,10.67,0.9972,0.0769,45961.3,21.34
16,2026-05-02,FC_BLR,S1,3287,3558,28,10,0,0,28,10,0,3694.1,3558,0,304.0,273.6,13.0,0.9632,0.0,52544.0,14.77
17,2026-05-02,FC_BLR,S2,4011,4033,35,12,4,1,31,11,0,4063.5,4033,0,376.0,302.4,13.34,0.9925,0.1064,66859.36,16.58
18,2026-05-02,FC_BLR,S3,2182,2502,21,7,3,0,18,7,36,2403.6,2403,99,260.0,216.0,11.12,0.9997,0.1071,52404.0,21.81
19,2026-05-02,FC_DEL,S1,4304,3812,38,14,4,1,34,13,0,4502.0,3812,0,416.0,338.4,11.26,0.8467,0.0962,73856.0,19.37
20,2026-05-02,FC_DEL,S2,4535,4521,41,14,4,1,37,13,0,4822.2,4521,0,440.0,360.0,12.56,0.9375,0.0909,80274.08,17.76
21,2026-05-02,FC_DEL,S3,2602,2953,25,9,2,1,23,8,36,2865.5,2865,88,308.0,259.2,11.05,0.9998,0.0882,63298.4,22.09
22,2026-05-02,FC_KOL,S1,2913,2675,26,9,4,0,22,9,5,2777.7,2675,0,285.0,228.2,11.72,0.963,0.1143,46660.0,17.44
23,2026-05-02,FC_KOL,S2,3363,3338,32,11,2,0,30,11,0,3445.8,3338,0,344.0,295.2,11.31,0.9687,0.0465,57539.92,17.24
24,2026-05-02,FC_KOL,S3,1894,1765,18,7,1,0,17,7,0,1853.0,1765,0,200.0,172.8,10.21,0.9525,0.04,35860.0,20.32
25,2026-05-02,FC_MUM,S1,3389,3593,30,10,0,1,30,9,0,3877.9,3593,0,320.0,280.8,12.8,0.9265,0.025,57600.0,16.03
26,2026-05-02,FC_MUM,S2,4266,4063,39,14,2,3,37,11,0,4077.7,4063,0,424.0,345.6,11.76,0.9964,0.0943,78782.64,19.39
27,2026-05-02,FC_MUM,S3,2713,2438,27,10,0,0,27,10,0,2921.4,2438,0,296.0,266.4,9.15,0.8345,0.0,58792.8,24.12
28,2026-05-02,FC_HYD,S1,3315,3062,29,10,2,0,27,10,0,3687.6,3062,0,312.0,266.4,11.49,0.8304,0.0513,52000.0,16.98
29,2026-05-02,FC_HYD,S2,3489,3472,31,11,3,1,28,10,10,3477.2,3472,0,346.0,283.6,12.24,0.9985,0.0952,60232.34,17.35
30,2026-05-02,FC_HYD,S3,2009,2021,18,7,1,0,17,7,0,2061.7,2021,0,200.0,172.8,11.7,0.9803,0.04,36801.6,18.21
31,2026-05-03,FC_BLR,S1,2950,2911,24,8,0,0,24,8,0,3122.8,2911,0,256.0,230.4,12.63,0.9322,0.0,44160.0,15.17
